ACCOUNT_NUMBER,PERIODE,PRINCIPAL,INTEREST,COLLATERAL
015372220141,2019-09-30,5000000,500000,0
015372220141,2019-10-31,5000000,500000,0
015372220141,2019-11-30,5000000,500000,0
015372220141,2019-12-31,5000000,500000,0
015372220141,2020-01-31,5000000,500000,0
015372220141,2020-02-29,5000000,500000,0
015372220141,2020-03-31,5000000,500000,0
015372220141,2020-04-30,5000000,500000,0
015372220141,2020-05-31,5000000,500000,0
015372220141,2020-06-30,5000000,500000,0
015372220141,2020-07-31,5000000,500000,0
015372220141,2020-08-31,5000000,500000,0
015372220141,2020-09-30,0,0,0
015372220141,2020-10-31,0,0,0
015372220141,2020-11-30,0,0,0
015372220141,2020-12-31,0,0,0
015372220141,2021-01-31,0,0,0
015372220141,2021-02-28,0,0,0
015372220141,2021-03-31,0,0,0
015372220141,2021-04-30,0,0,0
015372220141,2021-05-31,0,0,0
015372220141,2021-06-30,0,0,0
015372220141,2021-07-31,0,0,0
015372220141,2021-08-31,0,0,0
015372220141,2021-09-30,0,0,0
015372220141,2021-10-31,0,0,0
015372220141,2021-11-30,0,0,0
015372220141,2021-12-31,0,0,0
015372220141,2022-01-31,0,0,0
015372220141,2022-02-28,0,0,0
015372220141,2022-03-31,0,0,0
015372220141,2022-04-30,0,0,0
015372220141,2022-05-31,0,0,0
015372220141,2022-06-30,0,0,0
015372220141,2022-07-31,0,0,100000000
